Year,Location,Irrigation,Crop Type,Crop Damage,Yield,Observer
1998.0,North Daniel,N,Maize,0.0,789.62,Richard Gardner
1999.0,East Xavierport,Y,Soy,0.0,1752.85,Christina Nichols
1999.0,North Daniel,N,Maize,0.0,788.56,Sylvia Hanson
1999.0,Emilyland,Y,Soy,0.0,1652.88,Mary Day
2000.0,North Daniel,N,Wheat,0.0,1187.74,Sylvia Hanson
2000.0,East Xavierport,Y,Soy,0.0,1759.75,Christina Nichols
2000.0,Emilyland,Y,Wheat,0.0,1361.01,Samantha Murphy
2001.0,North Daniel,N,Maize,0.0,788.45,Michael Norris
2001.0,East Xavierport,Y,Maize,0.0,1054.31,Stephen Tran DDS
2001.0,Emilyland,Y,Soy,0.0,1654.99,Samantha Murphy
2002.0,Emilyland,Y,Soy,0.0,1664.23,James Schneider
2002.0,North Daniel,N,Maize,0.0,785.97,Michael Norris
2002.0,East Xavierport,Y,Wheat,0.0,1459.55,Tammy Carlson
2003.0,East Xavierport,Y,Maize,0.0,1056.86,William Keller
2003.0,Emilyland,Y,Maize,0.0,969.03,Diana Elliott
2003.0,North Daniel,N,Soy,0.0,1488.79,Renee Moore
2004.0,North Daniel,N,Soy,0.0,1489.38,Bonnie Sanders
2004.0,East Xavierport,Y,Soy,0.0,1754.03,Elizabeth Castro
2004.0,Emilyland,Y,Wheat,0.0,1363.5,Misty Neal
2005.0,Emilyland,Y,Maize,,968.42,Drew Barry
2005.0,Emilyland,Y,Maize,0.0,968.42,Drew Barry
2005.0,North Daniel,N,Soy,1.0,1487.11,Scott Clark
2005.0,East Xavierport,1,Soy,0.0,1756.3,Amy Brown
2006.0,Emilyland,Y,Maize,0.0,970.13,Ashley Sims
2006.0,East Xavierport,Y,Maize,0.0,1061.45,Deanna Alvarado
2006.0,North Daniel,N,Wheat,0.0,1185.23,Karen Smith
2007.0,Emilyland,Y,Wheat,0.0,1364.67,Stephanie Johnson
2007.0,North Daniel,N,Maize,0.0,783.27,Robert Reynolds
2007.0,North Daniel,N,,0.0,783.27,Robert Reynolds
2007.0,East Xavierport,Y,Maize,0.0,1061.67,Caroline Mcgrath
2008.0,East Xavierport,Y,Wheat,0.0,1453.44,Preston Price
2008.0,North Daniel,N,Soy,1.0,1477.04,Courtney Peck
2008.0,Emilyland,Y,Maize,1.0,954.79,Michael Roth
2009.0,East Xavierport,Y,Soy,0.0,1761.42,William Herrera
2009.0,North Daniel,N,Maize,0.0,782.88,Courtney Peck
2009.0,Emilyland,Y,Wheat,0.0,1392.56,Michelle Mills
2010.0,East Xavierport,Y,Soy,0.0,1762.08,Tamara Maldonado
2010.0,North Daniel,N,Maize,1.0,778.65,Courtney Peck
2010.0,Emilyland,Y,Maize,0.0,991.71,Keith Roberts
2011.0,East Xavierport,Y,Soy,0.0,1766.61,Tamara Maldonado
2011.0,North Daniel,N,Maize,1.0,780.1,James Bowman
2011.0,Emilyland,Y,Wheat,0.0,1377.38,Amanda Oliver
2012.0,Emilyland,Y,Soy,0.0,1694.36,Summer Hobbs
2012.0,East Xavierport,Y,Wheat,0.0,1468.61,Tamara Maldonado
2012.0,North Daniel,N,Wheat,1.0,1182.77,James Bowman
2013.0,North Daniel,N,Wheat,1.0,1184.44,Mary Reyes
2013.0,East Xavierport,Y,Soy,0.0,1766.74,Jason Ritter
2013.0,Emilyland,Y,Soy,0.0,1696.32,Summer Hobbs
2014.0,East Xavierport,Y,Wheat,0.0,1467.21,Jason Ritter
2014.0,North Daniel,N,Maize,1.0,778.69,Susan Wright
2014.0,Emilyland,Y,Soy,0.0,1706.42,Summer Hobbs
2015.0,East Xavierport,Y,Maize,0.0,1073.32,Jason Ritter
2015.0,North Daniel,N,Wheat,1.0,1173.93,Susan Wright
2015.0,Emilyland,Y,Soy,0.0,1688.33,Summer Hobbs
2016.0,Emilyland,Y,Soy,0.0,1697.48,Monica Freeman
2016.0,East Xavierport,Y,Wheat,0.0,1465.73,Nathan Boyd MD
2016.0,North Daniel,N,Wheat,1.0,1178.79,Brandon Neal
2017.0,Emilyland,Y,Maize,0.0,1006.04,Ronald Young
2017.0,North Daniel,N,Maize,1.0,775.62,James Wagner
2017.0,East Xavierport,Y,Maize,0.0,1077.91,Samuel Lee
2018.0,East Xavierport,Y,Wheat,0.0,1469.45,Melanie Ray
2018.0,Emilyland,Y,Soy,0.0,1700.81,Ronald Young
2018.0,North Daniel,no,Wheat,1.0,1175.85,James Wagner
2019.0,North Daniel,N,Wheat,1.0,1169.24,James Wagner
2019.0,Emilyland,Y,Wheat,0.0,1399.73,Megan Ward
2019.0,East Xavierport,Y,Maize,0.0,1073.93,Mike Herrera
